City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Chase,CA,50.8165,-119.6857,51.08,40,94,4.16,overcast clouds
328,Cabinda,AO,-5.55,12.2,77.34,89,99,2.73,overcast clouds
329,San Pedro Pinula,GT,14.6667,-89.85,79.52,44,52,6.87,broken clouds
330,Itoman,JP,26.1247,127.6694,71.98,60,40,18.41,scattered clouds
331,Orlik,RU,52.5178,99.825,21.45,73,80,2.44,broken clouds
332,Cabras,IT,39.93,8.5314,53.13,55,91,4.52,overcast clouds
333,Acajutla,SV,13.5928,-89.8275,84.4,70,89,7.99,overcast clouds
334,Eregli,TR,37.5133,34.0467,48.0,58,1,3.24,clear sky
335,Hobyo,SO,5.3505,48.5268,81.52,75,95,11.03,overcast clouds
336,Maracanau,BR,-3.8767,-38.6256,82.74,88,65,1.14,broken clouds
337,Rivne,UA,50.6231,26.2274,45.54,96,94,5.93,overcast clouds
338,Verkhnyaya Salda,RU,58.0456,60.5533,41.0,95,93,9.08,light rain
339,Saint-Ambroise,CA,48.5501,-71.3324,40.89,91,66,5.55,broken clouds
340,Kampot,KH,10.6167,104.1833,78.85,81,76,3.8,broken clouds
341,Grenfell,AU,-33.9,148.1667,70.0,40,45,3.0,scattered clouds
342,Saint-Georges,GD,12.0564,-61.7485,78.87,76,97,16.96,overcast clouds
343,Vaitape,PF,-16.5167,-151.75,82.35,68,7,15.95,clear sky
344,Clarence Town,AU,-32.5833,151.7833,72.81,67,95,0.45,overcast clouds
